titulo,abstract,clase_pri,clase_otr
Floquet engineering of interlayer couplings: Tuning the magic angle of twisted bilayer graphene at the exit of a waveguide,"  We introduce a new approach that allows one complete control over the
modulation of the effective twist angle change in few-layer van der Waals
heterostructures by irradiating them with longitudinal waves of light at the
end of a waveguide. As a specific application, we consider twisted bilayer
graphene and show that one can tune the magic angles to be either larger or
smaller, allowing in-situ experimental control of the phase diagram of this and
other related materials. A waveguide allows one to circumvent the free-space
constraints on the absence of longitudinal electric field components of light.
We propose to place twisted bilayer graphene at a specific location at the exit
of a waveguide, such that it is subjected to purely longitudinal components of
a transverse magnetic modes (TM) wave.

    ",Mesoscale and Nanoscale Physics (cond-mat.mes-hall),
Tracing out Correlated Chern Insulators in Magic Angle Twisted Bilayer Graphene,"  Magic-angle twisted bilayer graphene (MATBG) exhibits a range of correlated
phenomena that originate from strong electron-electron interactions. These
interactions make the Fermi surface highly susceptible to reconstruction when $
\pm 1, \pm 2, \pm 3$ electrons occupy each moir\' e unit cell and lead to the
formation of correlated insulating, superconducting and ferromagnetic phases.
While some phases have been shown to carry a non-zero Chern number, the local
microscopic properties and topological character of many other phases remain
elusive. Here we introduce a set of novel techniques hinging on scanning
tunneling microscopy (STM) to map out topological phases in MATBG that emerge
in finite magnetic field. By following the evolution of the local density of
states (LDOS) at the Fermi level with electrostatic doping and magnetic field,
we visualize a local Landau fan diagram that enables us to directly assign
Chern numbers to all observed phases. We uncover the existence of six
topological phases emanating from integer fillings in finite fields and whose
origin relates to a cascade of symmetry-breaking transitions driven by
correlations. The spatially resolved and electron-density-tuned LDOS maps
further reveal that these topological phases can form only in a small range of
twist angles around the magic-angle value. Both the microscopic origin and
extreme sensitivity to twist angle differentiate these topological phases from
the Landau levels observed near charge neutrality. Moreover, we observe that
even the charge-neutrality Landau spectrum taken at low fields is considerably
modified by interactions and exhibits an unexpected splitting between zero
Landau levels that can be as large as ${\sim }\,3-5$ meV. Our results show how
strong electronic interactions affect the band structure of MATBG and lead to
the formation of correlation-enabled topological phases.

    ",Strongly Correlated Electrons (cond-mat.str-el),; Mesoscale and Nanoscale Physics (cond-mat.mes-hall)
A novel LIDAR-based Atmospheric Calibration Method for Improving the Data Analysis of MAGIC,"  A new method for analyzing the returns of the custom-made 'micro'-LIDAR
system, which is operated along with the two MAGIC telescopes, allows to apply
atmospheric corrections in the MAGIC data analysis chain. Such corrections make
it possible to extend the effective observation time of MAGIC under adverse
atmospheric conditions and reduce the systematic errors of energy and flux in
the data analysis. LIDAR provides a range-resolved atmospheric backscatter
profile from which the extinction of Cherenkov light from air shower events can
be estimated. Knowledge of the extinction can allow to reconstruct the true
image parameters, including energy and flux. Our final goal is to recover the
source-intrinsic energy spectrum also for data affected by atmospheric
extinction from aerosol layers, such as clouds.

    ",Instrumentation and Methods for Astrophysics (astro-ph.IM),
Soft modes in magic angle twisted bilayer graphene,"  We present a systematic study of the low-energy collective modes for
different insulating states at integer fillings in twisted bilayer graphene. In
particular, we provide a simple counting rule for the total number of soft
modes, and analyze their energies and symmetry quantum numbers in detail. To
study the soft mode spectra, we employ time dependent Hartree-Fock whose
results are reproduced analytically via an effective sigma model description.
We find two different types of low-energy modes - (i) approximate Goldstone
modes associated with breaking an enlarged U(4)$\times$U(4) symmetry and,
surprisingly, a set of (ii) nematic modes with non-zero angular momentum under
three-fold rotation. The modes of type (i) include true gapless Goldstone modes
associated with exact symmetries in addition to gapped ""pseudo-Goldstone"" modes
associated with approximate symmetries. While the modes of type (ii) are always
gapped, we show that their gap decreases as the Berry curvature grows more
concentrated. For realistic parameter values, the gapped soft modes of both
types have comparable gaps of only a few meV, and lie completely inside the
mean-field bandgap. The entire set of soft modes emerge as Goldstone modes of a
different idealized model in which Berry flux is limited to a solenoid, which
enjoys an enlarged U(8) symmetry. Furthermore, we discuss the number of
Goldstone modes for each symmetry-broken state, distinguishing the linearly vs
quadratically dispersing modes. Finally, we present a general symmetry analysis
of the soft modes for all possible insulating Slater determinant states at
integer fillings that preserve translation symmetry, independent of the
energetic details. The resulting soft mode degeneracies and symmetry quantum
numbers provide a fingerprint of the different insulting states enabling their
experimental identification from a measurement of their soft modes.

    ",Strongly Correlated Electrons (cond-mat.str-el),; Mesoscale and Nanoscale Physics (cond-mat.mes-hall)
Measurement of the cosmic electron plus positron spectrum with the MAGIC telescopes,"  Cosmic electrons with energies in the TeV range lose their energy rapidly
through synchrotron radiation and inverse Compton processes, resulting in a
relatively short lifetime (~ 10^5 years). They are only visible from
comparatively nearby sources (<1 kpc). Unexpected features in their spectrum at
a few hundreds GeV, as measured by several experiments (ATIC, Fermi and
H.E.S.S. among others), might be caused by local sources such as pulsars or by
dark matter annihilation/decay. In order to investigate these possibilities,
new measurements in the TeV energy region are needed. Since the completion of
the stereo system, the MAGIC Cherenkov experiment is sensitive enough to
measure the cosmic electron flux between a few hundred GeV and few TeV. The
electron signal has to be extracted from the overwhelming background of
hadronic cosmic rays estimated through Monte Carlo simulations. Here we present
the first results of the cosmic electron spectrum measured with the MAGIC
telescopes.

    ",High Energy Astrophysical Phenomena (astro-ph.HE),
"Combined Dark Matter searches towards dwarf spheroidal galaxies with Fermi-LAT, HAWC, HESS, MAGIC and VERITAS","  The search for Dark Matter (DM) has great potential to reveal physics beyond
the Standard Model. As such, searches for evidence of DM particles are being
carried out using a wide range of techniques, such as direct searches for DM
particles, searches for DM produced with colliders, and indirect searches for
the Standard Model annihilation products of DM. Dwarf spheroidal galaxies
(dSphs) are excellent targets for indirect Dark Matter searches due to their
relatively high DM content and negligible expected astrophysical background. A
collaboration was formed to maximise the sensitivity of DM searches towards
dSphs by combining for the first time dSph data from three imaging air
Cherenkov telescope (IACT) arrays: HESS, MAGIC, and VERITAS; the Fermi-LAT
satellite, and the water Cherenkov detector HAWC. Due to the diverse nature of
the instruments involved, each experiment will analyse their individual
datasets from multiple targets and then the results will be combined at the
likelihood level. For consistency of the likelihoods across the five
experiments, a common approach is used to treat the astrophysical factor
(J-Factor) for each target and an agreed set of annihilation channels are
considered. We also agree on a common statistical approach and treatment of
instrumental systematic uncertainties. The results are presented in terms of
constraints on the velocity-weighted cross section for DM self-annihilation as
a function of the DM particle mass.

    ",High Energy Astrophysical Phenomena (astro-ph.HE),
Algebraic Combinatorics of Magic Squares,"  We describe how to construct and enumerate Magic squares, Franklin squares,
Magic cubes, and Magic graphs as lattice points inside polyhedral cones using
techniques from Algebraic Combinatorics. The main tools of our methods are the
Hilbert Poincare series to enumerate lattice points and the Hilbert bases to
generate lattice points. We define polytopes of magic labelings of graphs and
digraphs, and give a description of the faces of the Birkhoff polytope as
polytopes of magic labelings of digraphs.

    ",Combinatorics (math.CO),
Quantum critical behavior in magic-angle twisted bilayer graphene,"  The flat bands of magic-angle twisted bilayer graphene (MATBG) host
strongly-correlated electronic phases such as correlated insulators,
superconductors and a strange-metal state. The latter state, believed to be key
for understanding the electronic properties of MATBG, is obscured by various
phase transitions and thus could not be unequivocally differentiated from a
metal undergoing frequent electron-phonon collisions. Here, we report transport
measurements in superconducting MATBG in which the correlated insulator states
are suppressed by screening. The uninterrupted metallic ground state shows
resistivity that is linear in temperature over three decades and spans a broad
range of doping including those where a correlation-driven Fermi surface
reconstruction occurs. This strange-metal behavior is distinguished by
Planckian scattering rates and a linear magnetoresistivity. In contrast, near
charge neutrality or a fully-filled flat band, as well as for devices twisted
away from the magic angle, we observe the archetypal Fermi liquid behavior. Our
measurements demonstrate the existence of a quantum critical phase whose
fluctuations dominate the metallic ground state throughout a continuum of
doping. Further, we observe a transition to the strange metal upon suppression
of the superconducting order, suggesting a relationship between quantum
fluctuations and superconductivity in MATBG.

    ",Strongly Correlated Electrons (cond-mat.str-el),
Magic-Angle Multilayer Graphene: A Robust Family of Moiré Superconductors,"  The discovery of correlated states and superconductivity in magic-angle
twisted bilayer graphene (MATBG) has established moiré quantum matter as a
new platform to explore interaction-driven and topological quantum phenomena.
Multitudes of phases have been realized in moiré systems, but surprisingly,
robust superconductivity has been one of the least common of all, initially
found in MATBG and only more recently also in magic-angle twisted trilayer
graphene (MATTG). While MATBG and MATTG share some similar characteristics,
they also exhibit substantial differences, such as in their response to
external electric and magnetic fields. This raises the question of whether they
are simply two separate unique systems, or whether they form part of a broader
family of superconducting materials. Here, we report the experimental
realization of magic-angle twisted 4-layer and 5-layer graphene (MAT4G and
MAT5G, respectively), which turn out to be superconductors, hence establishing
alternating-twist magic-angle multilayer graphene as a robust family of moiré
superconductors. The members of this family have flat bands in their electronic
structure as a common feature, suggesting their central role in the observed
robust superconductivity. On the other hand, there are also important
variations across the family, such as different symmetries for members with
even and odd number of layers. However, our measurements in parallel magnetic
fields, in particular the investigation of Pauli limit violation and
spontaneous rotational symmetry breaking, reveal that the most pronounced
distinction is between the N=2 and N>2-layer structures. Our results expand the
emergent family of moiré superconductors, providing new insight with
potential implications for the design of novel superconducting materials
platforms.

    ",Superconductivity (cond-mat.supr-con),; Mesoscale and Nanoscale Physics (cond-mat.mes-hall); Strongly Correlated Electrons (cond-mat.str-el)
Tunable Phase Boundaries and Ultra-Strong Coupling Superconductivity in Mirror Symmetric Magic-Angle Trilayer Graphene,"  Moiré superlattices have recently emerged as a novel platform where
correlated physics and superconductivity can be studied with unprecedented
tunability. Although correlated effects have been observed in several other
moiré systems, magic-angle twisted bilayer graphene (MATBG) remains the only
one where robust superconductivity has been reproducibly measured. Here we
realize a new moiré superconductor, mirror symmetric magic-angle twisted
trilayer graphene (MATTG) with dramatically richer tunability in electronic
structure and superconducting properties. Hall effect and quantum oscillations
measurements as a function of density and electric field allow us to determine
the system's tunable phase boundaries in the normal state. Zero magnetic field
resistivity measurements then reveal that the existence of superconductivity is
intimately connected to the broken symmetry phase emerging from two carriers
per moiré unit cell. Strikingly, we find that the superconducting phase gets
suppressed and bounded at the van Hove singularities (vHs) partially
surrounding the broken-symmetry phase, which is difficult to reconcile with
weak-coupling BCS theory. Moreover, the extensive in situ tunability of our
system allows us to achieve the ultra-strong coupling regime, characterized by
a Ginzburg-Landau coherence length reaching the average inter-particle distance
and very large $T_\mathrm{BKT}/T_{F}$ ratios in excess of 0.1, where
$T_\mathrm{BKT}$ and $T_F$ are the Berezinskii-Kosterlitz-Thouless transition
and Fermi temperatures, respectively. These observations suggest that MATTG can
be electrically tuned close to the two-dimensional BCS-BEC crossover. Our
results establish a new generation of tunable moiré superconductors with the
potential to revolutionize our fundamental understanding and the applications
of strong coupling superconductivity.

    ",Superconductivity (cond-mat.supr-con),; Mesoscale and Nanoscale Physics (cond-mat.mes-hall); Strongly Correlated Electrons (cond-mat.str-el)
